Date,Open,High,Low,Close
06-04-2021,"4,206.05","4,233.45","4,206.05","4,229.89"
06-03-2021,"4,191.43","4,204.39","4,167.93","4,192.85"
06-02-2021,"4,206.82","4,217.37","4,198.27","4,208.12"
06-01-2021,"4,216.52","4,234.12","4,197.59","4,202.04"
05/28/2021,"4,210.77","4,218.36","4,203.57","4,204.11"
05/27/2021,"4,201.94","4,213.38","4,197.78","4,200.88"
05/26/2021,"4,191.59","4,202.61","4,184.11","4,195.99"
05/25/2021,"4,205.94","4,213.42","4,182.52","4,188.13"
05/24/2021,"4,170.16","4,209.52","4,170.16","4,197.05"
05/21/2021,"4,168.61","4,188.72","4,151.72","4,155.86"
05/20/2021,"4,121.97","4,172.80","4,121.97","4,159.12"
05/19/2021,"4,098.45","4,116.93","4,061.41","4,115.68"
05/18/2021,"4,165.94","4,169.15","4,125.99","4,127.83"
05/17/2021,"4,169.92","4,171.92","4,142.69","4,163.29"
05/14/2021,"4,129.58","4,183.13","4,129.58","4,173.85"
05/13/2021,"4,074.99","4,131.58","4,074.99","4,112.50"
05-12-2021,"4,130.55","4,134.73","4,056.88","4,063.04"
05-11-2021,"4,150.34","4,162.04","4,111.53","4,152.10"
05-10-2021,"4,228.29","4,236.39","4,188.13","4,188.43"
05-07-2021,"4,210.34","4,238.04","4,201.64","4,232.60"
05-06-2021,"4,169.14","4,202.70","4,147.33","4,201.62"
05-05-2021,"4,177.06","4,187.72","4,160.94","4,167.59"
05-04-2021,"4,179.04","4,179.04","4,128.59","4,164.66"
05-03-2021,"4,191.98","4,209.39","4,188.03","4,192.66"
04/30/2021,"4,198.10","4,198.10","4,174.85","4,181.17"
04/29/2021,"4,206.14","4,218.78","4,176.81","4,211.47"
04/28/2021,"4,185.14","4,201.53","4,181.78","4,183.18"
04/27/2021,"4,188.25","4,193.35","4,176.22","4,186.72"
04/26/2021,"4,185.03","4,194.19","4,182.36","4,187.62"
04/23/2021,"4,138.78","4,194.17","4,138.78","4,180.17"
